date,year,month,quarter,region,category,product_name,salesperson_id,channel,quantity,unit_price,revenue,profit_margin,profit
2022-01-06,2022,1,Q1,East,Sports,Dumbbell Set,SP_027,Online,11,67.53,742.79,0.252,187.18
2022-01-07,2022,1,Q1,South,Electronics,Laptop Pro,SP_026,Direct Sales,5,515.08,2575.42,0.26,669.61
2022-01-08,2022,1,Q1,North,Electronics,Wireless Earbuds,SP_003,Partner,14,398.7,5581.87,0.533,2975.14
2022-01-08,2022,1,Q1,South,Sports,Bike Helmet,SP_015,Retail Store,1,59.72,59.72,0.312,18.63
2022-01-08,2022,1,Q1,South,Food & Beverage,Organic Tea,SP_001,Partner,14,27.79,389.13,0.388,150.98
2022-01-08,2022,1,Q1,East,Food & Beverage,Protein Powder,SP_030,Retail Store,14,28.76,402.6,0.334,134.47
2022-01-08,2022,1,Q1,West,Home & Garden,Robot Vacuum,SP_019,Direct Sales,6,117.25,703.51,0.412,289.85
2022-01-09,2022,1,Q1,West,Clothing,Winter Jacket,SP_005,Direct Sales,2,75.28,150.55,0.4,60.22
2022-01-09,2022,1,Q1,West,Food & Beverage,Energy Bars,SP_021,Partner,13,28.65,372.47,0.437,162.77
2022-01-09,2022,1,Q1,East,Food & Beverage,Organic Tea,SP_026,Partner,11,35.76,393.36,0.318,125.09
2022-01-10,2022,1,Q1,South,Home & Garden,Coffee Maker,SP_002,Direct Sales,5,154.6,773.01,0.442,341.67
2022-01-10,2022,1,Q1,East,Home & Garden,Garden Kit,SP_001,Partner,7,149.85,1048.97,0.168,176.23
2022-01-10,2022,1,Q1,West,Clothing,Running Shoes,SP_009,Retail Store,3,60.45,181.34,0.36,65.28
2022-01-11,2022,1,Q1,South,Home & Garden,Air Purifier,SP_020,Direct Sales,11,106.32,1169.49,0.338,395.29
2022-01-11,2022,1,Q1,Central,Home & Garden,Robot Vacuum,SP_006,Direct Sales,2,144.92,289.85,0.156,45.22
2022-01-11,2022,1,Q1,West,Sports,Dumbbell Set,SP_029,Direct Sales,6,49.24,295.42,0.313,92.47
2022-01-11,2022,1,Q1,North,Clothing,Denim Jeans,SP_019,Online,8,72.37,578.93,0.178,103.05
2022-01-12,2022,1,Q1,West,Clothing,Running Shoes,SP_027,Direct Sales,2,77.29,154.59,0.415,64.15
2022-01-12,2022,1,Q1,Central,Clothing,T-Shirt Pack,SP_026,Partner,1,60.79,60.79,0.168,10.21
2022-01-12,2022,1,Q1,East,Sports,Dumbbell Set,SP_028,Direct Sales,9,60.42,543.75,0.27,146.81
2022-01-12,2022,1,Q1,South,Home & Garden,Garden Kit,SP_024,Direct Sales,2,145.52,291.05,0.366,106.52
2022-01-12,2022,1,Q1,West,Electronics,Tablet,SP_007,Partner,12,584.5,7014.03,0.329,2307.62
2022-01-13,2022,1,Q1,North,Clothing,Winter Jacket,SP_001,Retail Store,14,56.97,797.56,0.469,374.06
2022-01-13,2022,1,Q1,East,Clothing,Denim Jeans,SP_002,Online,2,77.0,154.0,0.225,34.65
2022-01-13,2022,1,Q1,Central,Electronics,Tablet,SP_028,Direct Sales,12,563.76,6765.07,0.287,1941.58
2022-01-13,2022,1,Q1,West,Sports,Bike Helmet,SP_008,Online,5,63.4,317.02,0.163,51.67
2022-01-14,2022,1,Q1,Central,Sports,Dumbbell Set,SP_019,Partner,5,58.55,292.74,0.228,66.74
2022-01-14,2022,1,Q1,West,Sports,Swim Goggles,SP_012,Retail Store,7,45.84,320.86,0.324,103.96
2022-01-14,2022,1,Q1,North,Sports,Swim Goggles,SP_027,Retail Store,11,66.21,728.3,0.36,262.19
2022-01-14,2022,1,Q1,South,Home & Garden,Robot Vacuum,SP_029,Retail Store,1,149.38,149.38,0.308,46.01
2022-01-14,2022,1,Q1,West,Food & Beverage,Protein Powder,SP_007,Direct Sales,14,32.25,451.57,0.181,81.73
2022-01-14,2022,1,Q1,East,Sports,Swim Goggles,SP_015,Direct Sales,1,49.27,49.27,0.182,8.97
2022-01-14,2022,1,Q1,South,Home & Garden,Air Purifier,SP_023,Partner,14,145.92,2042.9,0.476,972.42
2022-01-14,2022,1,Q1,West,Sports,Yoga Mat,SP_030,Direct Sales,6,49.35,296.1,0.487,144.2
2022-01-15,2022,1,Q1,Central,Electronics,Smart Watch,SP_005,Retail Store,1,441.5,441.5,0.365,161.15
2022-01-16,2022,1,Q1,East,Sports,Dumbbell Set,SP_012,Direct Sales,8,50.49,403.92,0.522,210.85
2022-01-16,2022,1,Q1,North,Clothing,Denim Jeans,SP_030,Online,7,83.76,586.31,0.421,246.84
2022-01-16,2022,1,Q1,Central,Food & Beverage,Coffee Blend,SP_018,Retail Store,3,24.54,73.62,0.397,29.23
2022-01-16,2022,1,Q1,Central,Food & Beverage,Coffee Blend,SP_026,Online,14,36.62,512.75,0.257,131.78
2022-01-16,2022,1,Q1,East,Food & Beverage,Protein Powder,SP_006,Online,5,28.82,144.11,0.302,43.52
2022-01-16,2022,1,Q1,Central,Food & Beverage,Organic Tea,SP_026,Online,8,37.45,299.62,0.236,70.71
2022-01-17,2022,1,Q1,Central,Sports,Dumbbell Set,SP_001,Direct Sales,11,64.23,706.57,0.451,318.66
2022-01-17,2022,1,Q1,Central,Sports,Bike Helmet,SP_022,Online,4,62.59,250.36,0.156,39.06
2022-01-17,2022,1,Q1,South,Sports,Dumbbell Set,SP_009,Retail Store,8,53.96,431.67,0.174,75.11
2022-01-17,2022,1,Q1,North,Home & Garden,Air Purifier,SP_025,Partner,13,153.51,1995.63,0.157,313.31
2022-01-17,2022,1,Q1,Central,Home & Garden,Robot Vacuum,SP_009,Partner,4,121.74,486.98,0.271,131.97
2022-01-17,2022,1,Q1,South,Sports,Swim Goggles,SP_024,Direct Sales,11,52.22,574.41,0.491,282.04
2022-01-17,2022,1,Q1,East,Sports,Bike Helmet,SP_016,Partner,8,52.9,423.23,0.316,133.74
2022-01-18,2022,1,Q1,West,Sports,Yoga Mat,SP_030,Online,1,53.01,53.01,0.425,22.53
2022-01-18,2022,1,Q1,East,Home & Garden,Coffee Maker,SP_009,Retail Store,10,155.69,1556.88,0.236,367.42
2022-01-18,2022,1,Q1,South,Clothing,T-Shirt Pack,SP_010,Retail Store,1,79.94,79.94,0.334,26.7
2022-01-19,2022,1,Q1,East,Food & Beverage,Organic Tea,SP_028,Online,4,29.6,118.4,0.395,46.77
2022-01-19,2022,1,Q1,West,Home & Garden,Garden Kit,SP_023,Retail Store,7,98.12,686.81,0.375,257.55
2022-01-19,2022,1,Q1,East,Sports,Dumbbell Set,SP_017,Online,6,52.78,316.69,0.496,157.08
2022-01-19,2022,1,Q1,West,Food & Beverage,Energy Bars,SP_028,Online,1,34.8,34.8,0.351,12.21
2022-01-20,2022,1,Q1,North,Home & Garden,Coffee Maker,SP_003,Retail Store,5,103.6,518.01,0.271,140.38
2022-01-20,2022,1,Q1,North,Electronics,Wireless Earbuds,SP_022,Retail Store,0,398.13,0.0,0.545,0.0
2022-01-20,2022,1,Q1,South,Home & Garden,Air Purifier,SP_009,Retail Store,3,100.3,300.89,0.327,98.39
2022-01-20,2022,1,Q1,Central,Home & Garden,Garden Kit,SP_005,Partner,3,146.51,439.52,0.438,192.51
2022-01-21,2022,1,Q1,West,Sports,Swim Goggles,SP_010,Partner,11,52.72,579.94,0.506,293.45
2022-01-22,2022,1,Q1,South,Food & Beverage,Protein Powder,SP_019,Online,1,27.07,27.07,0.379,10.26
2022-01-22,2022,1,Q1,West,Clothing,Running Shoes,SP_025,Partner,4,78.78,315.11,0.237,74.68
2022-01-22,2022,1,Q1,East,Clothing,T-Shirt Pack,SP_019,Retail Store,7,68.83,481.81,0.318,153.22
2022-01-23,2022,1,Q1,West,Home & Garden,Robot Vacuum,SP_002,Direct Sales,5,97.7,488.49,0.388,189.53
2022-01-23,2022,1,Q1,South,Home & Garden,Coffee Maker,SP_007,Direct Sales,5,111.79,558.95,0.548,306.3
2022-01-23,2022,1,Q1,South,Home & Garden,Robot Vacuum,SP_011,Direct Sales,0,113.29,0.0,0.451,0.0
2022-01-23,2022,1,Q1,West,Clothing,Winter Jacket,SP_020,Direct Sales,10,65.14,651.41,0.455,296.39
2022-01-24,2022,1,Q1,West,Electronics,Laptop Pro,SP_023,Online,11,451.06,4961.71,0.153,759.14
2022-01-24,2022,1,Q1,Central,Sports,Swim Goggles,SP_005,Direct Sales,2,65.36,130.72,0.515,67.32
2022-01-24,2022,1,Q1,Central,Electronics,Smart Watch,SP_016,Direct Sales,9,362.38,3261.44,0.368,1200.21
2022-01-24,2022,1,Q1,South,Clothing,Running Shoes,SP_004,Online,0,65.78,0.0,0.164,0.0
2022-01-24,2022,1,Q1,Central,Food & Beverage,Protein Powder,SP_030,Retail Store,14,38.46,538.49,0.35,188.47
2022-01-24,2022,1,Q1,East,Electronics,Laptop Pro,SP_021,Direct Sales,0,470.87,0.0,0.32,0.0
2022-01-24,2022,1,Q1,North,Electronics,Tablet,SP_003,Online,13,487.88,6342.46,0.308,1953.48
2022-01-24,2022,1,Q1,East,Sports,Bike Helmet,SP_028,Retail Store,13,68.8,894.44,0.206,184.25
2022-01-25,2022,1,Q1,North,Food & Beverage,Organic Tea,SP_026,Direct Sales,2,34.58,69.16,0.452,31.26
2022-01-25,2022,1,Q1,East,Food & Beverage,Organic Tea,SP_012,Direct Sales,8,27.67,221.34,0.332,73.48
2022-01-25,2022,1,Q1,South,Food & Beverage,Coffee Blend,SP_019,Partner,0,26.66,0.0,0.227,0.0
2022-01-25,2022,1,Q1,Central,Home & Garden,Garden Kit,SP_007,Online,8,108.53,868.23,0.393,341.21
2022-01-25,2022,1,Q1,South,Food & Beverage,Organic Tea,SP_013,Direct Sales,3,31.1,93.29,0.466,43.47
2022-01-25,2022,1,Q1,West,Home & Garden,Robot Vacuum,SP_019,Retail Store,14,106.48,1490.66,0.255,380.12
2022-01-26,2022,1,Q1,South,Clothing,T-Shirt Pack,SP_011,Direct Sales,3,79.19,237.56,0.333,79.11
2022-01-26,2022,1,Q1,North,Clothing,Winter Jacket,SP_008,Direct Sales,11,72.07,792.75,0.211,167.27
2022-01-26,2022,1,Q1,South,Clothing,T-Shirt Pack,SP_005,Retail Store,4,65.0,260.01,0.369,95.94
2022-01-26,2022,1,Q1,South,Food & Beverage,Protein Powder,SP_003,Online,4,33.44,133.74,0.224,29.96
2022-01-26,2022,1,Q1,Central,Sports,Yoga Mat,SP_003,Online,8,64.72,517.77,0.261,135.14
2022-01-26,2022,1,Q1,South,Home & Garden,Coffee Maker,SP_020,Partner,6,123.57,741.44,0.451,334.39
2022-01-27,2022,1,Q1,Central,Sports,Dumbbell Set,SP_019,Partner,7,45.52,318.63,0.289,92.08
2022-01-27,2022,1,Q1,East,Home & Garden,Air Purifier,SP_014,Direct Sales,11,151.87,1670.56,0.436,728.36
2022-01-27,2022,1,Q1,West,Food & Beverage,Coffee Blend,SP_001,Online,4,36.2,144.81,0.214,30.99
2022-01-27,2022,1,Q1,South,Clothing,Running Shoes,SP_026,Retail Store,0,75.68,0.0,0.248,0.0
2022-01-27,2022,1,Q1,South,Electronics,Smart Watch,SP_006,Online,2,580.79,1161.57,0.397,461.14
2022-01-28,2022,1,Q1,Central,Electronics,Smart Watch,SP_024,Direct Sales,5,372.1,1860.5,0.399,742.34
2022-01-28,2022,1,Q1,East,Home & Garden,Coffee Maker,SP_016,Direct Sales,3,110.22,330.67,0.374,123.67
2022-01-28,2022,1,Q1,South,Home & Garden,Air Purifier,SP_025,Online,8,136.7,1093.59,0.449,491.02
2022-01-28,2022,1,Q1,Central,Home & Garden,Coffee Maker,SP_006,Partner,1,124.26,124.26,0.536,66.6
2022-01-29,2022,1,Q1,West,Food & Beverage,Energy Bars,SP_028,Partner,11,24.59,270.54,0.412,111.46
2022-01-29,2022,1,Q1,South,Electronics,Wireless Earbuds,SP_013,Retail Store,14,518.54,7259.61,0.17,1234.13
2022-01-29,2022,1,Q1,North,Home & Garden,Air Purifier,SP_023,Partner,4,104.75,419.0,0.324,135.76
2022-01-29,2022,1,Q1,East,Home & Garden,Garden Kit,SP_028,Direct Sales,9,154.85,1393.64,0.205,285.7
2022-01-30,2022,1,Q1,West,Food & Beverage,Energy Bars,SP_018,Partner,13,33.45,434.82,0.371,161.32
2022-01-30,2022,1,Q1,North,Food & Beverage,Organic Tea,SP_016,Direct Sales,12,26.03,312.39,0.362,113.09
2022-01-30,2022,1,Q1,East,Sports,Yoga Mat,SP_012,Partner,11,58.62,644.81,0.34,219.24
2022-01-30,2022,1,Q1,East,Clothing,Winter Jacket,SP_023,Direct Sales,11,81.64,898.06,0.364,326.89
2022-01-30,2022,1,Q1,Central,Sports,Yoga Mat,SP_001,Retail Store,11,44.69,491.55,0.475,233.49
2022-01-30,2022,1,Q1,Central,Clothing,Denim Jeans,SP_020,Online,5,75.09,375.47,0.498,186.98
2022-01-31,2022,1,Q1,South,Clothing,Running Shoes,SP_014,Online,13,81.05,1053.63,0.381,401.43
2022-01-31,2022,1,Q1,South,Sports,Dumbbell Set,SP_006,Online,1,48.45,48.45,0.473,22.92
2022-01-31,2022,1,Q1,North,Food & Beverage,Coffee Blend,SP_020,Online,4,38.26,153.04,0.521,79.73
2022-01-31,2022,1,Q1,West,Electronics,Wireless Earbuds,SP_013,Retail Store,12,439.75,5276.98,0.307,1620.03
2022-01-31,2022,1,Q1,Central,Electronics,Smart Watch,SP_008,Partner,11,559.53,6154.84,0.404,2486.56
2022-02-01,2022,2,Q1,East,Sports,Dumbbell Set,SP_002,Partner,2,56.39,112.79,0.298,33.61
2022-02-01,2022,2,Q1,Central,Sports,Yoga Mat,SP_027,Online,8,70.44,563.54,0.264,148.77
2022-02-02,2022,2,Q1,West,Home & Garden,Air Purifier,SP_017,Direct Sales,5,151.7,758.5,0.292,221.48
2022-02-02,2022,2,Q1,East,Food & Beverage,Energy Bars,SP_012,Retail Store,13,27.49,357.4,0.188,67.19
2022-02-02,2022,2,Q1,East,Clothing,Winter Jacket,SP_014,Online,14,79.62,1114.62,0.215,239.64
2022-02-02,2022,2,Q1,South,Electronics,Wireless Earbuds,SP_028,Direct Sales,8,482.6,3860.8,0.546,2108.0
2022-02-02,2022,2,Q1,North,Sports,Dumbbell Set,SP_015,Retail Store,10,45.33,453.31,0.292,132.37
2022-02-03,2022,2,Q1,East,Sports,Bike Helmet,SP_019,Online,4,68.45,273.78,0.5,136.89
2022-02-03,2022,2,Q1,North,Sports,Bike Helmet,SP_009,Partner,4,63.84,255.37,0.237,60.52
2022-02-03,2022,2,Q1,South,Home & Garden,Garden Kit,SP_002,Partner,13,104.47,1358.06,0.399,541.87
2022-02-03,2022,2,Q1,North,Sports,Swim Goggles,SP_020,Retail Store,15,64.3,964.54,0.517,498.67
2022-02-04,2022,2,Q1,East,Electronics,Laptop Pro,SP_030,Retail Store,6,470.12,2820.73,0.464,1308.82
2022-02-04,2022,2,Q1,East,Electronics,Wireless Earbuds,SP_011,Partner,6,494.7,2968.23,0.249,739.09
2022-02-04,2022,2,Q1,South,Home & Garden,Air Purifier,SP_016,Partner,12,113.32,1359.84,0.361,490.9
2022-02-04,2022,2,Q1,East,Clothing,Running Shoes,SP_019,Retail Store,5,63.35,316.76,0.517,163.76
2022-02-04,2022,2,Q1,West,Sports,Yoga Mat,SP_002,Online,16,70.28,1124.55,0.24,269.89
2022-02-04,2022,2,Q1,East,Food & Beverage,Protein Powder,SP_017,Retail Store,1,36.07,36.07,0.487,17.57
2022-02-04,2022,2,Q1,Central,Sports,Yoga Mat,SP_021,Online,16,45.37,725.93,0.245,177.85
2022-02-04,2022,2,Q1,South,Sports,Swim Goggles,SP_024,Direct Sales,3,49.74,149.22,0.272,40.59
2022-02-05,2022,2,Q1,West,Home & Garden,Garden Kit,SP_016,Retail Store,15,121.11,1816.72,0.506,919.26
2022-02-05,2022,2,Q1,East,Food & Beverage,Organic Tea,SP_013,Partner,7,38.63,270.4,0.298,80.58
2022-02-05,2022,2,Q1,West,Home & Garden,Coffee Maker,SP_028,Retail Store,3,155.44,466.31,0.423,197.25
2022-02-05,2022,2,Q1,Central,Sports,Dumbbell Set,SP_009,Retail Store,6,64.5,387.01,0.545,210.92
2022-02-05,2022,2,Q1,East,Sports,Dumbbell Set,SP_026,Direct Sales,6,70.82,424.92,0.452,192.06
2022-02-05,2022,2,Q1,South,Clothing,Running Shoes,SP_023,Partner,2,52.45,104.9,0.249,26.12
2022-02-05,2022,2,Q1,North,Food & Beverage,Energy Bars,SP_028,Partner,6,33.25,199.52,0.475,94.77
2022-02-06,2022,2,Q1,South,Sports,Bike Helmet,SP_023,Partner,11,66.37,730.06,0.493,359.92
2022-02-06,2022,2,Q1,South,Electronics,Laptop Pro,SP_007,Retail Store,11,388.19,4270.11,0.327,1396.33
2022-02-06,2022,2,Q1,East,Food & Beverage,Energy Bars,SP_021,Online,5,33.58,167.91,0.403,67.67
2022-02-07,2022,2,Q1,West,Electronics,Smart Watch,SP_026,Online,5,401.35,2006.77,0.389,780.63
2022-02-07,2022,2,Q1,Central,Home & Garden,Air Purifier,SP_015,Online,11,151.26,1663.82,0.548,911.77
2022-02-07,2022,2,Q1,South,Sports,Bike Helmet,SP_004,Partner,3,68.08,204.25,0.388,79.25
2022-02-07,2022,2,Q1,North,Sports,Yoga Mat,SP_024,Online,8,47.06,376.45,0.392,147.57
2022-02-07,2022,2,Q1,North,Sports,Swim Goggles,SP_021,Direct Sales,7,53.9,377.3,0.192,72.44
2022-02-07,2022,2,Q1,West,Food & Beverage,Coffee Blend,SP_006,Online,9,37.72,339.47,0.415,140.88
2022-02-08,2022,2,Q1,West,Clothing,Running Shoes,SP_014,Retail Store,5,66.16,330.81,0.15,49.62
2022-02-08,2022,2,Q1,South,Sports,Dumbbell Set,SP_011,Retail Store,12,50.46,605.53,0.286,173.18
2022-02-08,2022,2,Q1,North,Electronics,Smart Watch,SP_013,Online,0,492.14,0.0,0.428,0.0
2022-02-08,2022,2,Q1,West,Clothing,Denim Jeans,SP_006,Partner,12,53.93,647.14,0.458,296.39
2022-02-08,2022,2,Q1,North,Food & Beverage,Coffee Blend,SP_020,Retail Store,11,36.66,403.21,0.24,96.77
2022-02-09,2022,2,Q1,South,Clothing,T-Shirt Pack,SP_008,Partner,14,78.16,1094.18,0.364,398.28
2022-02-09,2022,2,Q1,East,Sports,Dumbbell Set,SP_028,Direct Sales,2,49.41,29136.84,0.362,35.77
2022-02-09,2022,2,Q1,East,Sports,Bike Helmet,SP_023,Retail Store,3,46.91,140.73,0.188,26.46
2022-02-09,2022,2,Q1,East,Food & Beverage,Protein Powder,SP_009,Online,3,33.18,99.55,0.28,27.87
2022-02-09,2022,2,Q1,West,Electronics,Tablet,SP_030,Online,2,573.39,1146.78,0.162,185.78
2022-02-09,2022,2,Q1,North,Sports,Dumbbell Set,SP_028,Retail Store,5,58.38,291.88,0.312,91.07
2022-02-09,2022,2,Q1,South,Sports,Bike Helmet,SP_022,Online,0,69.09,0.0,0.256,0.0
2022-02-10,2022,2,Q1,North,Electronics,Smart Watch,SP_016,Partner,5,506.71,2533.55,0.289,732.2
2022-02-10,2022,2,Q1,Central,Sports,Dumbbell Set,SP_028,Partner,16,66.73,1067.63,0.532,567.98
2022-02-10,2022,2,Q1,East,Sports,Swim Goggles,SP_008,Direct Sales,13,57.52,747.72,0.173,129.36
2022-02-10,2022,2,Q1,Central,Electronics,Tablet,SP_015,Direct Sales,14,408.19,5714.69,0.43,2457.32
2022-02-10,2022,2,Q1,South,Electronics,Wireless Earbuds,SP_007,Retail Store,16,400.74,6411.86,0.278,1782.5
2022-02-11,2022,2,Q1,Central,Clothing,T-Shirt Pack,SP_002,Retail Store,9,60.13,541.15,0.411,222.41
2022-02-11,2022,2,Q1,North,Food & Beverage,Organic Tea,SP_028,Partner,13,34.29,445.8,0.204,90.94
2022-02-11,2022,2,Q1,West,Home & Garden,Air Purifier,SP_023,Partner,11,115.5,1270.49,0.405,514.55
2022-02-12,2022,2,Q1,West,Food & Beverage,Protein Powder,SP_007,Direct Sales,6,28.52,171.15,0.353,60.42
2022-02-12,2022,2,Q1,East,Food & Beverage,Organic Tea,SP_021,Online,4,26.7,106.81,0.463,49.45
2022-02-12,2022,2,Q1,West,Sports,Yoga Mat,SP_003,Partner,0,64.47,0.0,0.256,0.0
2022-02-12,2022,2,Q1,South,Home & Garden,Robot Vacuum,SP_025,Online,14,122.36,1713.0,0.239,409.41
2022-02-12,2022,2,Q1,North,Food & Beverage,Energy Bars,SP_001,Online,219,31.77,95.31,0.374,35.65
2022-02-12,2022,2,Q1,South,Sports,Swim Goggles,SP_025,Direct Sales,4,66.31,265.23,0.505,133.94
2022-02-13,2022,2,Q1,South,Home & Garden,Air Purifier,SP_029,Online,11,99.06,25256.41,0.438,477.26
2022-02-13,2022,2,Q1,East,Food & Beverage,Coffee Blend,SP_027,Online,14,29.78,416.91,0.157,65.45
2022-02-14,2022,2,Q1,East,Food & Beverage,Coffee Blend,SP_011,Direct Sales,4,27.55,110.22,0.359,39.57
2022-02-14,2022,2,Q1,West,Home & Garden,Garden Kit,SP_015,Retail Store,11,131.18,1443.03,0.465,671.01
2022-02-14,2022,2,Q1,East,Home & Garden,Robot Vacuum,SP_030,Online,12,133.3,1599.6,0.332,531.07
2022-02-14,2022,2,Q1,South,Food & Beverage,Energy Bars,SP_013,Online,5,26.96,134.78,0.361,48.66
2022-02-14,2022,2,Q1,West,Home & Garden,Coffee Maker,SP_029,Direct Sales,7,108.08,756.59,0.466,352.57
2022-02-14,2022,2,Q1,South,Sports,Swim Goggles,SP_006,Retail Store,12,50.66,607.94,0.446,271.14
2022-02-14,2022,2,Q1,South,Electronics,Smart Watch,SP_027,Partner,9,536.94,4832.44,0.209,1009.98
2022-02-14,2022,2,Q1,West,Food & Beverage,Energy Bars,SP_019,Retail Store,10,27.03,270.29,0.369,99.74
2022-02-14,2022,2,Q1,East,Electronics,Wireless Earbuds,SP_015,Partner,3,487.52,1462.57,0.207,302.75
2022-02-14,2022,2,Q1,West,Food & Beverage,Coffee Blend,SP_007,Retail Store,1,29.6,29.6,0.289,8.55
2022-02-15,2022,2,Q1,North,Home & Garden,Coffee Maker,SP_011,Retail Store,7,137.93,965.52,0.547,528.14
2022-02-15,2022,2,Q1,North,Sports,Dumbbell Set,SP_016,Online,5,46.2,230.99,0.411,94.94
2022-02-16,2022,2,Q1,South,Sports,Yoga Mat,SP_015,Retail Store,11,61.77,679.5,0.461,313.25
2022-02-16,2022,2,Q1,Central,Food & Beverage,Organic Tea,SP_011,Partner,12,36.11,433.3,0.299,129.56
2022-02-16,2022,2,Q1,Central,Sports,Dumbbell Set,SP_012,Partner,2,52.36,104.73,0.522,54.67
2022-02-17,2022,2,Q1,South,Clothing,Running Shoes,SP_006,Direct Sales,8,60.93,487.46,0.39,190.11
2022-02-17,2022,2,Q1,Central,Electronics,Wireless Earbuds,SP_005,Partner,13,584.33,7596.3,0.389,2954.96
2022-02-17,2022,2,Q1,South,Sports,Swim Goggles,SP_004,Retail Store,11,68.64,755.08,0.256,193.3
2022-02-18,2022,2,Q1,Central,Clothing,Winter Jacket,SP_017,Online,8,54.87,438.98,0.274,120.28
2022-02-18,2022,2,Q1,East,Sports,Dumbbell Set,SP_001,Partner,6,60.5,363.01,0.152,55.18
2022-02-18,2022,2,Q1,North,Sports,Swim Goggles,SP_029,Retail Store,10,62.31,623.13,0.524,326.52
2022-02-18,2022,2,Q1,North,Clothing,Winter Jacket,SP_030,Retail Store,10,68.03,680.32,0.184,125.18
2022-02-19,2022,2,Q1,South,Clothing,Running Shoes,SP_021,Online,0,83.19,0.0,0.344,0.0
2022-02-19,2022,2,Q1,East,Electronics,Smart Watch,SP_013,Online,9,513.26,4619.35,0.318,1468.95
2022-02-19,2022,2,Q1,North,Clothing,Running Shoes,SP_024,Direct Sales,8,83.58,668.67,0.208,139.08
2022-02-19,2022,2,Q1,West,Food & Beverage,Energy Bars,SP_029,Partner,4,27.11,108.45,0.246,26.68
2022-02-19,2022,2,Q1,East,Sports,Bike Helmet,SP_010,Direct Sales,1,65.28,65.28,0.488,31.86
