employee_id,age,gender,department,job_role,education,years_at_company,monthly_salary,performance_rating,satisfaction_score,work_life_balance,overtime,attrition,last_promotion_years_ago
EMP-1056,36,Female,Finance,CFO,Master's,8,114613,3,1.1,2,0,0,8
EMP-1057,24,Female,Operations,Supply Chain Analyst,Master's,0,88587,4,2.2,1,0,0,0
EMP-1058,47,Male,Marketing,SEO Specialist,Bachelor's,14,92877,3,3.3,4,0,0,11
EMP-1059,33,Male,Operations,Operations Manager,Bachelor's,2,77953,5,3.4,1,0,0,0
EMP-1060,46,Male,Operations,Operations Manager,High School,0,72240,3,2.8,4,0,0,0
EMP-1061,36,Female,Operations,Logistics Coordinator,Bachelor's,9,76541,5,1.5,4,1,0,6
EMP-1062,41,Male,Engineering,Software Engineer,Bachelor's,19,145098,5,2.0,3,1,0,16
EMP-1063,22,Female,Sales,Sales Manager,Master's,0,44617,3,4.8,5,0,0,0
EMP-1064,34,Female,Sales,Sales Rep,Master's,6,92370,4,3.7,3,0,0,2
EMP-1065,25,Male,Finance,CFO,Bachelor's,4,100675,5,1.2,4,0,0,3
EMP-1066,51,Female,Sales,Account Manager,Bachelor's,7,59794,1,2.2,3,0,0,5
EMP-1067,27,Male,Operations,Operations Manager,Bachelor's,1,62192,2,3.0,5,1,0,0
EMP-1068,23,Male,Sales,Sales Rep,Bachelor's,1,52254,1,4.3,5,0,0,0
EMP-1069,39,Male,Operations,Operations Manager,Bachelor's,3,59200,1,3.2,5,0,0,2
EMP-1070,31,Male,Finance,CFO,Bachelor's,3,113365,5,3.1,4,0,0,1
EMP-1071,35,Female,Marketing,Content Strategist,Bachelor's,12,117014,1,3.1,1,1,0,8
EMP-1072,28,Female,Sales,Account Manager,Bachelor's,2,82936,1,2.6,1,1,0,0
EMP-1073,46,Male,Sales,Sales Rep,Bachelor's,7,61030,2,2.0,4,0,0,2
EMP-1074,28,Male,Engineering,DevOps,Bachelor's,1,84148,2,4.4,2,0,0,1
EMP-1075,36,Female,Finance,Accountant,Bachelor's,0,90669,4,2.0,2,0,0,0
EMP-1076,38,Male,Operations,Logistics Coordinator,Master's,3,99794,1,4.8,1,0,0,2
EMP-1077,29,Female,Operations,Operations Manager,Master's,7,68436,1,4.2,2,0,0,6
EMP-1078,23,Male,Sales,Sales Manager,Master's,1,44957,3,1.7,2,0,0,0
EMP-1079,42,Female,Operations,Logistics Coordinator,Master's,0,72271,1,2.7,2,1,0,0
EMP-1080,23,Female,Marketing,Marketing Analyst,Master's,2,98416,5,4.2,5,0,0,2
EMP-1081,35,Female,Finance,Financial Analyst,Bachelor's,7,110887,5,2.7,3,1,0,4
EMP-1082,52,Male,Finance,Accountant,Master's,11,85049,3,3.6,3,0,0,1
EMP-1083,31,Female,Operations,Logistics Coordinator,Bachelor's,10,89808,2,1.1,1,0,0,5
EMP-1084,46,Male,Engineering,Data Engineer,Master's,3,80929,4,3.8,4,1,0,2
EMP-1085,57,Female,Marketing,SEO Specialist,High School,8,112578,1,4.6,4,0,1,8
EMP-1086,42,Male,Sales,Sales Manager,Bachelor's,2,87193,3,1.3,4,1,0,0
EMP-1087,30,Female,Engineering,DevOps,Bachelor's,8,145705,2,3.6,3,1,0,1
EMP-1088,46,Male,Sales,Sales Rep,PhD,17,81954,4,1.2,3,1,0,1
EMP-1089,25,Male,Sales,Sales Rep,Bachelor's,2,58870,5,4.3,3,0,0,2
EMP-1090,31,Female,Finance,Accountant,High School,7,77786,1,4.3,2,1,0,3
EMP-1091,59,Male,Operations,Operations Manager,Master's,1,71742,5,3.2,3,0,0,1
EMP-1092,22,Male,Engineering,QA Engineer,Bachelor's,0,142773,2,1.0,2,0,0,0
EMP-1093,59,Female,Finance,Financial Analyst,Bachelor's,17,142796,4,4.7,1,0,0,3
EMP-1094,29,Male,Sales,Sales Manager,Bachelor's,7,72390,1,3.1,5,1,0,0
EMP-1095,25,Female,Marketing,Marketing Analyst,Bachelor's,3,85048,2,4.8,3,1,0,0
EMP-1096,45,Female,Sales,Sales Manager,Bachelor's,9,54367,3,4.6,2,0,0,8
EMP-1097,29,Male,Finance,Financial Analyst,Master's,8,97399,1,4.8,4,1,0,4
EMP-1098,45,Female,Sales,Sales Manager,Master's,19,100155,4,3.5,4,1,0,14
EMP-1099,40,Female,Marketing,Marketing Analyst,Master's,18,73116,4,5.0,1,0,0,2
EMP-1100,53,Female,HR,Recruiter,Bachelor's,3,63355,4,1.7,3,0,1,2
EMP-1101,58,Female,Operations,Logistics Coordinator,Master's,5,82588,3,2.9,5,1,0,1
EMP-1102,55,Female,Marketing,Marketing Analyst,Bachelor's,12,95993,5,4.0,4,1,0,8
EMP-1103,46,Male,Engineering,Data Engineer,Master's,10,164097,1,4.5,1,1,0,6
EMP-1104,23,Male,Operations,Supply Chain Analyst,Master's,0,71364,1,1.9,3,1,0,0
EMP-1105,34,Male,Finance,Financial Analyst,Bachelor's,10,91715,2,2.6,4,1,0,1
EMP-1106,49,Female,HR,HR Coordinator,PhD,19,95977,4,1.6,3,0,0,15
EMP-1107,47,Male,Sales,Sales Rep,Master's,11,103545,5,1.6,5,1,0,4
EMP-1108,32,Male,HR,Recruiter,Master's,0,62994,3,1.2,5,0,0,0
EMP-1109,50,Male,Engineering,DevOps,Bachelor's,10,119641,2,1.9,3,0,0,4
EMP-1110,39,Female,Marketing,SEO Specialist,Bachelor's,0,50801,5,3.7,5,0,0,0
EMP-1111,52,Male,Engineering,QA Engineer,Master's,12,91764,4,1.4,5,0,0,3
EMP-1112,30,Female,Operations,Operations Manager,Master's,8,54029,4,4.4,2,0,0,0
EMP-1113,51,Female,Operations,Supply Chain Analyst,Master's,4,81341,3,4.6,3,0,0,2
EMP-1114,59,Male,Finance,Financial Analyst,Master's,13,114915,1,4.6,2,0,0,8
EMP-1115,33,Male,Sales,Sales Rep,Bachelor's,8,96311,5,1.9,3,0,0,0
EMP-1116,51,Female,Engineering,QA Engineer,Master's,0,151259,3,1.4,5,0,0,0
EMP-1117,40,Female,Marketing,Content Strategist,Bachelor's,5,66205,3,4.0,5,0,0,5
EMP-1118,31,Male,Marketing,Marketing Analyst,Master's,5,65958,3,1.6,3,0,0,3
EMP-1119,28,Female,HR,Recruiter,Master's,7,72075,3,1.2,2,0,0,0
EMP-1120,55,Male,Finance,Financial Analyst,Master's,10,72580,2,2.3,3,1,1,8
EMP-1121,37,Female,Operations,Operations Manager,High School,8,59102,4,4.9,2,0,0,1
EMP-1122,27,Female,HR,HR Coordinator,Bachelor's,5,82568,1,2.4,4,0,0,3
EMP-1123,41,Male,Sales,Account Manager,Bachelor's,10,95962,1,1.5,1,0,0,0
EMP-1124,37,Male,HR,HR Coordinator,High School,2,67419,1,2.4,5,0,0,0
EMP-1125,39,Female,Finance,CFO,Bachelor's,13,99343,5,3.6,3,0,0,4
EMP-1126,43,Male,Marketing,Content Strategist,Bachelor's,4,90242,2,1.4,2,1,0,1
EMP-1127,41,Female,Operations,Supply Chain Analyst,Bachelor's,6,103036,3,4.5,5,0,0,2
EMP-1128,36,Female,Marketing,Content Strategist,Master's,11,68075,3,4.8,4,0,0,6
EMP-1129,51,Male,Engineering,DevOps,Master's,18,133120,1,3.0,4,0,0,7
EMP-1130,44,Male,Finance,CFO,Master's,10,119062,3,2.1,4,0,0,2
EMP-1131,50,Male,Sales,Sales Manager,Bachelor's,0,65018,5,3.2,1,1,0,0
EMP-1132,51,Female,Operations,Operations Manager,Master's,15,109331,2,3.7,1,0,0,3
EMP-1133,24,Male,Engineering,Software Engineer,Master's,2,126698,1,4.1,5,0,0,1
EMP-1134,38,Male,HR,HR Manager,Bachelor's,1,63616,2,3.5,1,0,0,1
EMP-1135,22,Female,Engineering,DevOps,Master's,0,123092,3,2.0,5,0,0,0
EMP-1136,24,Female,Marketing,SEO Specialist,Bachelor's,1,87589,3,2.5,5,0,0,0
EMP-1137,37,Female,Operations,Logistics Coordinator,Master's,2,96492,1,2.8,5,0,0,2
EMP-1138,23,Female,Marketing,Content Strategist,Master's,1,89568,4,3.9,2,1,0,0
EMP-1139,42,Male,Engineering,Data Engineer,Bachelor's,3,135056,4,4.0,5,0,0,3
EMP-1140,40,Male,Sales,Sales Manager,Bachelor's,8,80234,1,1.1,3,1,0,7
EMP-1141,24,Female,HR,Recruiter,Bachelor's,1,76686,2,2.6,3,1,0,1
EMP-1142,32,Male,Operations,Supply Chain Analyst,Bachelor's,7,104741,1,4.7,5,0,0,4
EMP-1143,43,Male,Operations,Operations Manager,Bachelor's,20,114896,2,4.0,5,0,0,4
EMP-1144,41,Male,Operations,Operations Manager,Master's,5,51347,1,2.5,4,0,0,5
EMP-1145,51,Female,Engineering,Software Engineer,Bachelor's,18,114560,2,1.1,3,0,0,12
EMP-1146,41,Female,Finance,CFO,Bachelor's,6,103292,2,3.8,5,0,1,6
EMP-1147,56,Female,Sales,Sales Manager,Master's,4,68989,3,2.3,1,0,0,3
EMP-1148,44,Male,Sales,Sales Rep,Bachelor's,18,81551,2,1.3,3,1,0,12
EMP-1149,52,Male,Marketing,Marketing Analyst,Bachelor's,16,100319,2,1.2,3,0,0,5
EMP-1150,57,Female,Finance,Financial Analyst,Bachelor's,12,125642,5,3.3,2,0,0,3
EMP-1151,53,Female,HR,Recruiter,Bachelor's,4,66504,2,2.0,3,0,0,4
EMP-1152,59,Male,Marketing,Content Strategist,Bachelor's,19,104928,1,1.1,2,0,0,16
EMP-1153,39,Female,Marketing,Marketing Analyst,Bachelor's,14,68285,2,2.4,1,1,0,10
EMP-1154,37,Female,Marketing,Content Strategist,Bachelor's,11,85542,5,3.1,1,0,0,1
EMP-1155,34,Female,Sales,Sales Manager,Master's,6,49184,3,1.2,1,0,0,5
EMP-1156,32,Male,Operations,Supply Chain Analyst,Bachelor's,7,78937,4,4.1,3,1,0,6
EMP-1157,28,Male,Sales,Account Manager,Bachelor's,3,84018,3,3.9,2,0,1,1
EMP-1158,40,Male,Operations,Operations Manager,Bachelor's,6,79665,4,1.5,5,0,0,4
EMP-1159,40,Female,Operations,Operations Manager,Master's,13,102440,4,3.0,5,1,0,5
EMP-1160,33,Male,Finance,CFO,Bachelor's,9,82006,1,1.1,4,0,0,5
EMP-1161,50,Male,Finance,Accountant,Bachelor's,3,101917,5,2.2,4,0,0,2
EMP-1162,59,Female,Engineering,DevOps,Master's,5,85966,2,3.5,4,0,0,2
EMP-1163,40,Female,Engineering,Software Engineer,Bachelor's,5,332798,3,2.1,2,0,0,1
EMP-1164,45,Female,Operations,Supply Chain Analyst,Master's,19,90235,4,3.2,2,0,0,15
EMP-1165,41,Male,Operations,Operations Manager,Bachelor's,1,89771,5,1.7,3,0,0,0
EMP-1166,35,Male,Operations,Logistics Coordinator,Bachelor's,7,65902,5,1.6,3,1,0,2
EMP-1167,25,Female,HR,Recruiter,Master's,4,50463,3,3.5,4,0,0,4
EMP-1168,47,Male,Operations,Logistics Coordinator,PhD,13,68868,4,1.0,2,1,0,3
EMP-1169,35,Male,HR,HR Coordinator,Bachelor's,3,83969,3,4.4,4,0,0,1
EMP-1170,23,Male,Operations,Supply Chain Analyst,Bachelor's,0,89037,5,4.0,2,1,0,0
EMP-1171,42,Male,Engineering,DevOps,Bachelor's,17,146979,3,2.9,2,0,0,15
EMP-1172,37,Male,Operations,Operations Manager,Bachelor's,3,51584,2,4.5,1,0,0,2
EMP-1173,39,Male,Engineering,Software Engineer,Master's,3,77048,4,3.1,5,0,1,2
EMP-1174,32,Male,Engineering,Data Engineer,Bachelor's,1,146957,4,3.4,5,1,0,0
EMP-1175,40,Female,Sales,Sales Rep,Bachelor's,12,85634,2,2.9,3,1,0,5
EMP-1176,33,Female,Engineering,QA Engineer,Master's,12,105022,3,2.0,3,0,0,8
EMP-1177,29,Female,Engineering,QA Engineer,Bachelor's,7,121730,1,4.5,3,0,0,0
EMP-1178,57,Female,Engineering,Software Engineer,Bachelor's,4,149039,3,1.4,2,0,0,1
EMP-1179,45,Male,Finance,Accountant,Master's,11,131732,4,4.7,3,0,0,1
EMP-1180,53,Female,Operations,Operations Manager,Bachelor's,13,66439,2,3.0,1,0,0,1
EMP-1181,42,Female,Engineering,DevOps,PhD,5,89719,2,2.4,2,0,0,3
EMP-1182,30,Male,Engineering,Software Engineer,Bachelor's,0,67486,5,2.7,3,1,0,0
EMP-1183,41,Male,Sales,Sales Manager,Bachelor's,7,49258,3,2.7,4,0,0,6
EMP-1184,22,Male,HR,Recruiter,Bachelor's,0,46681,2,2.6,4,0,0,0
EMP-1185,48,Male,HR,HR Coordinator,Bachelor's,5,75646,2,2.4,5,0,1,2
EMP-1186,46,Male,Finance,CFO,Bachelor's,5,69969,3,4.0,5,1,1,5
EMP-1187,49,Female,Sales,Sales Rep,Bachelor's,7,80568,3,4.0,1,0,0,7
EMP-1188,46,Female,Finance,Financial Analyst,Bachelor's,0,58693,3,4.5,1,0,0,0
EMP-1189,30,Female,Operations,Supply Chain Analyst,Master's,3,51692,3,3.6,4,0,1,1
EMP-1190,57,Female,Operations,Operations Manager,Bachelor's,7,79411,2,3.1,1,0,0,1
EMP-1191,52,Male,HR,HR Coordinator,Master's,17,65025,5,4.3,2,0,0,16
EMP-1192,35,Male,Operations,Logistics Coordinator,Bachelor's,1,73663,2,4.3,3,0,0,1
EMP-1193,45,Male,HR,HR Coordinator,Bachelor's,12,69531,2,4.4,2,1,0,3
EMP-1194,49,Female,Marketing,SEO Specialist,Bachelor's,14,118206,5,2.5,4,0,0,10
EMP-1195,54,Female,Marketing,Marketing Analyst,Bachelor's,9,101817,2,4.8,4,0,0,2
EMP-1196,50,Male,Sales,Sales Rep,Bachelor's,15,75182,1,1.1,2,0,1,10
EMP-1197,42,Male,Marketing,SEO Specialist,Bachelor's,18,113269,1,1.6,3,0,0,10
EMP-1198,48,Male,Engineering,Data Engineer,Master's,2,149946,4,3.2,3,0,0,1
EMP-1199,29,Female,HR,Recruiter,Master's,6,68984,4,4.6,4,1,0,3
EMP-1200,48,Male,Finance,Accountant,Master's,20,141502,2,2.2,3,0,0,3
EMP-1201,44,Male,Finance,CFO,Master's,7,94534,5,3.7,2,0,0,7
EMP-1202,45,Male,Engineering,Data Engineer,Master's,9,84036,3,3.5,2,0,1,2
EMP-1203,44,Female,Finance,CFO,Bachelor's,13,137142,5,4.8,5,0,0,4
EMP-1204,32,Female,Engineering,QA Engineer,Master's,4,75245,2,1.9,1,1,0,2
EMP-1205,22,Male,HR,Recruiter,Master's,0,62950,3,4.3,5,0,0,0
EMP-1206,54,Female,Sales,Sales Rep,Bachelor's,9,74506,5,2.1,3,0,0,8
EMP-1207,34,Female,Operations,Operations Manager,Master's,9,87205,2,4.6,2,0,0,7
EMP-1208,57,Male,HR,HR Manager,Bachelor's,5,71986,2,2.4,4,0,0,5
EMP-1209,32,Female,Finance,Financial Analyst,Bachelor's,2,110102,3,4.7,3,0,1,0
EMP-1210,38,Female,Operations,Operations Manager,Bachelor's,1,93593,1,2.9,5,0,0,1
EMP-1211,36,Male,HR,Recruiter,Master's,12,71637,4,3.4,1,0,1,0
EMP-1212,34,Female,HR,HR Coordinator,Master's,9,74903,5,1.2,1,0,1,9
EMP-1213,30,Female,HR,HR Coordinator,Bachelor's,7,51489,4,4.1,5,1,0,4
EMP-1214,40,Female,Sales,Sales Rep,Bachelor's,3,61350,3,1.9,4,0,1,2
EMP-1215,40,Female,Sales,Sales Rep,Bachelor's,14,86682,4,1.8,5,0,0,12
EMP-1216,27,Male,Marketing,SEO Specialist,Bachelor's,5,87471,3,3.3,1,0,0,3
EMP-1217,47,Male,HR,Recruiter,Bachelor's,13,97213,5,2.6,5,0,0,7
EMP-1218,40,Male,HR,HR Coordinator,Master's,10,90117,1,2.9,1,0,0,2
EMP-1219,51,Female,Sales,Account Manager,Bachelor's,12,58057,2,3.0,5,0,0,12
EMP-1220,57,Male,Sales,Account Manager,Master's,18,92664,2,1.2,1,1,0,15
EMP-1221,40,Male,Sales,Sales Manager,Master's,4,90834,4,1.9,3,0,0,4
EMP-1222,37,Male,HR,HR Manager,Master's,16,67773,5,4.3,2,1,1,6
EMP-1223,30,Male,Engineering,QA Engineer,Bachelor's,5,296604,5,1.1,4,0,0,1
EMP-1224,33,Female,HR,Recruiter,Master's,1,61944,4,2.8,2,0,0,1
EMP-1225,28,Non-binary,Finance,CFO,Bachelor's,7,87663,4,2.7,5,0,0,4
EMP-1226,33,Male,Engineering,Software Engineer,Master's,9,125964,5,2.0,2,1,0,8
EMP-1227,56,Male,Operations,Operations Manager,Bachelor's,10,86419,2,2.5,1,0,0,6
EMP-1228,32,Male,HR,HR Manager,Master's,2,78203,1,2.4,2,0,0,0
EMP-1229,52,Male,Operations,Supply Chain Analyst,Master's,3,68016,5,2.2,2,1,0,3
EMP-1230,30,Female,Operations,Supply Chain Analyst,Bachelor's,4,58927,1,1.5,4,0,0,1
EMP-1231,45,Female,Operations,Logistics Coordinator,Bachelor's,3,76033,2,2.9,5,0,0,1
EMP-1232,35,Male,Finance,CFO,Master's,10,89455,5,2.3,2,0,0,5
EMP-1233,58,Male,Sales,Sales Rep,Bachelor's,5,90140,1,3.1,5,0,0,0
EMP-1234,31,Female,Operations,Operations Manager,Master's,1,79204,4,2.6,2,0,0,1
EMP-1235,53,Female,HR,HR Coordinator,Master's,5,74675,2,4.3,3,0,0,1
EMP-1236,25,Female,Marketing,SEO Specialist,Bachelor's,4,66460,2,2.8,5,0,0,4
EMP-1237,26,Female,Sales,Account Manager,Master's,0,54455,4,3.6,5,0,0,0
EMP-1238,47,Female,Sales,Sales Rep,Bachelor's,12,85944,3,4.0,2,0,0,1
EMP-1239,57,Male,Marketing,Marketing Analyst,PhD,4,76930,5,4.1,1,0,0,3
EMP-1240,45,Male,Engineering,Data Engineer,Master's,1,77155,1,4.7,1,0,0,1
EMP-1241,27,Male,Operations,Logistics Coordinator,Bachelor's,5,76030,4,2.0,5,1,0,4
EMP-1242,47,Male,Sales,Account Manager,Master's,2,61704,1,2.7,2,0,0,2
EMP-1243,22,Male,Sales,Sales Manager,Bachelor's,0,45749,5,1.2,5,0,0,0
EMP-1244,29,Female,Sales,Account Manager,Master's,4,82856,2,3.1,3,0,1,4
EMP-1245,27,Male,Operations,Logistics Coordinator,Master's,6,98645,4,4.4,4,0,0,1
EMP-1246,32,Female,HR,HR Coordinator,Bachelor's,6,63212,3,4.0,5,0,0,3
EMP-1247,42,Female,Sales,Sales Manager,Master's,12,68117,3,3.7,5,0,0,9
EMP-1248,40,Female,Marketing,Marketing Analyst,Bachelor's,9,105785,2,1.8,1,0,0,5
EMP-1249,29,Female,Marketing,Marketing Analyst,Bachelor's,0,80148,2,3.0,2,0,0,0
EMP-1250,43,Male,Marketing,Marketing Analyst,Master's,5,96878,2,1.4,4,0,0,5
EMP-1251,27,Female,Operations,Supply Chain Analyst,Bachelor's,3,95943,1,3.2,5,1,0,2
EMP-1252,44,Male,Finance,Accountant,Bachelor's,2,118005,3,1.4,4,1,0,1
EMP-1253,59,Female,Marketing,Content Strategist,Bachelor's,19,121466,1,4.4,3,0,0,5
EMP-1254,23,Female,Finance,Financial Analyst,Master's,0,85376,4,1.3,2,0,0,0
EMP-1255,25,Female,HR,HR Coordinator,Bachelor's,2,58968,5,3.1,2,0,0,0
EMP-1256,38,Female,Engineering,Software Engineer,Bachelor's,8,99682,3,4.6,2,0,0,6
EMP-1257,59,Male,Operations,Operations Manager,Bachelor's,1,72609,1,4.0,2,1,0,0
EMP-1258,42,Male,Marketing,Content Strategist,Bachelor's,11,70028,5,4.4,1,0,0,10
EMP-1259,51,Female,Engineering,DevOps,Bachelor's,18,153772,3,3.3,5,1,1,17
EMP-1260,23,Male,Finance,CFO,Bachelor's,0,93584,5,2.0,2,0,0,0
EMP-1261,25,Male,Sales,Account Manager,Master's,2,78857,5,2.0,4,0,1,0
EMP-1262,24,Female,Finance,CFO,Bachelor's,2,107775,1,3.6,5,1,0,1
EMP-1263,38,Male,Engineering,Software Engineer,Master's,13,108326,4,3.7,2,0,0,5
EMP-1264,46,Male,Finance,Financial Analyst,Master's,5,99772,4,4.2,5,0,0,0
EMP-1265,22,Female,HR,HR Coordinator,Bachelor's,0,58678,2,2.6,3,0,0,0
EMP-1266,48,Male,Operations,Operations Manager,Bachelor's,20,104014,4,4.9,2,0,0,4
EMP-1267,52,Male,Sales,Sales Manager,PhD,4,47165,3,1.9,3,0,0,1
EMP-1268,30,Male,Marketing,Marketing Analyst,Bachelor's,9,100935,1,4.5,5,0,0,2
EMP-1269,30,Female,Operations,Logistics Coordinator,Master's,0,93934,2,4.7,4,0,0,0
EMP-1270,24,Male,Operations,Logistics Coordinator,Master's,3,97530,2,3.2,4,0,0,2
EMP-1271,27,Male,Engineering,Data Engineer,Bachelor's,4,112922,1,4.6,5,0,0,3
EMP-1272,41,Female,Finance,CFO,Bachelor's,12,124375,2,4.2,2,0,0,12
EMP-1273,22,Male,Sales,Sales Rep,Bachelor's,1,75164,3,3.0,2,0,0,0
EMP-1274,36,Female,HR,HR Manager,Master's,10,83484,4,2.7,5,0,0,5
EMP-1275,37,Female,Finance,Financial Analyst,Bachelor's,7,127380,2,4.1,5,0,0,2
EMP-1276,24,Female,HR,HR Manager,Bachelor's,1,68052,1,4.4,3,0,1,0
EMP-1277,51,Male,Finance,CFO,Bachelor's,18,115387,2,3.8,2,1,0,5
EMP-1278,58,Male,Marketing,Content Strategist,Bachelor's,9,90723,4,2.6,4,0,0,6
EMP-1279,46,Female,Operations,Operations Manager,Bachelor's,1,67180,5,2.3,3,0,1,0
EMP-1280,28,Male,Engineering,DevOps,Bachelor's,0,82700,5,4.2,3,0,0,0
EMP-1281,31,Male,Engineering,DevOps,PhD,7,129867,2,3.5,5,0,0,5
EMP-1282,30,Male,Operations,Logistics Coordinator,Master's,2,96976,1,4.5,5,0,0,2
EMP-1283,22,Female,Finance,CFO,Master's,0,83804,5,3.9,4,0,0,0
EMP-1284,38,Female,Marketing,Content Strategist,Master's,10,117486,3,3.8,1,1,0,6
EMP-1285,54,Male,HR,HR Manager,Bachelor's,17,98682,5,3.6,5,0,1,0
EMP-1286,52,Non-binary,Marketing,Content Strategist,PhD,18,74564,3,3.7,5,1,0,17
EMP-1287,26,Male,Sales,Account Manager,Bachelor's,2,59989,1,3.1,2,0,1,2
